source_id,ra,decl
5995384259108127104,240.584,-40.848
5995362101395338624,240.279,-40.9962
5995376807363466112,240.154,-40.787
5995388936351608960,240.473,-40.7261
5995386325011977472,240.385,-40.878
5995363681943351936,240.292,-40.9005
5995392230568137344,240.605,-40.685
5995390482539918080,240.471,-40.6596
5995402061771796736,240.39,-40.6531
5995359455695502208,240.411,-40.9597
5995396525535733504,240.504,-40.6106
5995402538488755072,240.41,-40.6074
5995390379460696704,240.454,-40.6724
5995377254040076672,240.186,-40.7558
5995386599889888000,240.351,-40.8541
5995362067035607168,240.301,-40.9835
5995382167483621120,240.443,-40.9611
5995383988549183488,240.466,-40.8202
5995388214797118592,240.35,-40.7689
5995385706536079232,240.57,-40.7981
5995387493242554496,240.369,-40.8098
5995385981414023808,240.543,-40.7681
5995377288399817216,240.201,-40.7489
5995376085809022976,240.235,-40.821
5995386531170409856,240.367,-40.8614
5995358596702016512,240.422,-41.004
5995359146457838336,240.336,-40.9941
5995375879650506880,240.241,-40.8305
5995389108150274048,240.535,-40.7201
5995389176869759232,240.522,-40.7191
5995386359371714944,240.403,-40.8857
5995385775255583872,240.555,-40.7742
5995362238834313344,240.303,-40.9579
5995362788590143744,240.35,-40.9193
5995392063087751040,240.571,-40.7228
5995385053701046272,240.587,-40.7942
5995364128619978880,240.298,-40.8392
5995389413068699776,240.527,-40.6905
5995385775255584128,240.556,-40.7737
5995362651151183744,240.329,-40.9349
5995395224183751040,240.558,-40.6699
5995388214797128320,240.341,-40.7641
5995400068906918016,240.34,-40.7224
5995385466017934208,240.476,-40.8147
5995385912694541312,240.581,-40.7576
5995376326327092864,240.163,-40.8603
5995403161283511680,240.352,-40.5971
5995376876082931968,240.206,-40.8044
5995402886405572096,240.372,-40.6171
5995375810931026688,240.256,-40.8371
5995376704284240896,240.143,-40.806
5995400481223824128,240.338,-40.6834
5995387252724392832,240.415,-40.784
5995384229067292288,240.573,-40.8613
5995391027976404352,240.642,-40.7591
5995402302289956096,240.453,-40.632
5995390345100951040,240.443,-40.6816
5995375742211554432,240.198,-40.8302
5995401477656290432,240.296,-40.6575
5995360830085025792,240.257,-40.9859
5995400721742384256,240.264,-40.7253
5995335472597074432,240.535,-40.9537
5995376669924496768,240.124,-40.8181
5995358631061761536,240.428,-40.9923
5995382167483620608,240.443,-40.9629
5995359249537061888,240.334,-40.9804
5995382064403757824,240.499,-40.9518
5995399656590022144,240.323,-40.7572
5995375192455744128,240.125,-40.8262
5995389378709728384,240.512,-40.7178
5995390723057868416,240.645,-40.7833
5995385466017932928,240.476,-40.8159
5995401958692590720,240.351,-40.6629
5995390963576063616,240.605,-40.764
5995384229067291648,240.569,-40.8645
5995375501693363328,240.192,-40.8772
5995379934099664896,240.115,-40.7694
5995400068906900352,240.344,-40.735
5995401958692581760,240.349,-40.6714
5995383885469938944,240.462,-40.8562
5995403264362690048,240.381,-40.6156
5995406013141816064,240.299,-40.6041
5995362822949891968,240.354,-40.8991
5995387630682045056,240.322,-40.8171
5995404535673061760,240.273,-40.6206
5995400442543814656,240.326,-40.6955
5995403809797870080,240.213,-40.7056
5995395258543499648,240.575,-40.6518
5995385775255568640,240.558,-40.7865
5995376326327099392,240.157,-40.8467
5995375604772587648,240.19,-40.8583
5995388180437378048,240.37,-40.7614
5995401099699127168,240.306,-40.6871
5995364059900495744,240.271,-40.8544
5995399862748917632,240.306,-40.7519
5995376188888166144,240.247,-40.7983
5995384607024419968,240.615,-40.8332
5995337186270814592,240.61,-40.8882
5995381823886231296,240.47,-40.9968
5995359485741016832,240.388,-40.9705
5995364128619975808,240.312,-40.8441
5995388073038905088,240.398,-40.7659
5995403985917541632,240.235,-40.6783
5995358974659139712,240.358,-41.0056
5995337362382707584,240.634,-40.8872
5995387149645160192,240.402,-40.8026
5995382614159581440,240.532,-40.9008
5995362788590150528,240.349,-40.9064
5995403191323059712,240.331,-40.601
5995391101015031040,240.626,-40.7415
5995376154528428416,240.232,-40.7984
5995376566845289216,240.181,-40.8005
5995390894856567040,240.63,-40.7771
5995404466953573888,240.251,-40.6392
5995388111717895424,240.399,-40.7539
5995388283516587904,240.389,-40.758
5995384538304962560,240.56,-40.8216
5995335300798363008,240.568,-40.9547
5995375364254408832,240.235,-40.878
5995388695833396992,240.442,-40.777
5995361959637533184,240.19,-40.9401
5995362135755087744,240.285,-40.9789
5995380067218859648,240.128,-40.7472
5995402027412049024,240.384,-40.6636
5995362444992741248,240.292,-40.9626
5995376773003724032,240.169,-40.7925
5995390242021708288,240.501,-40.6768
5995402577167912320,240.426,-40.603
5995377254040078080,240.177,-40.7528
5995359455695494400,240.413,-40.9733
5995395292903228160,240.527,-40.6841
